study,sample,genotype,name,platform_model,stage,stage PO,stage PO name,tissue,tissue PO,tissue PO name,treatment,treatment PECO,treatment PECO name
SRP141021,SRR7030988,cv Chinese Spring,SRR7030988,Illumina HiSeq 4000,0_DAT_control_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,control,none,none
SRP141021,SRR7030987,cv Chinese Spring,SRR7030987,Illumina HiSeq 4000,0_DAT_control_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,control,none,none
SRP141021,SRR7030986,cv Chinese Spring,SRR7030986,Illumina HiSeq 4000,0_DAT_control_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,control,none,none
SRP141021,SRR7030985,cv Chinese Spring,SRR7030985,Illumina HiSeq 4000,0_DAT_control_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,control,none,none
SRP141021,SRR7030992,cv Chinese Spring,SRR7030992,Illumina HiSeq 4000,0_DAT_heat_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7030991,cv Chinese Spring,SRR7030991,Illumina HiSeq 4000,0_DAT_heat_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7030990,cv Chinese Spring,SRR7030990,Illumina HiSeq 4000,0_DAT_heat_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7030989,cv Chinese Spring,SRR7030989,Illumina HiSeq 4000,0_DAT_heat_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP045409,SRR1542407,TAM107,SRR1542407,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,1 hour of drought stress,PECO:0007404,drought environment exposure
SRP045409,SRR1542406,TAM107,SRR1542406,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,1 hour of drought stress,PECO:0007404,drought environment exposure
SRP045409,SRR1542415,TAM107,SRR1542415,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,1 hour of drought&heat combined stress,,
SRP045409,SRR1542414,TAM107,SRR1542414,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,1 hour of drought&heat combined stress,,
SRP045409,SRR1542411,TAM107,SRR1542411,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,1 hour of heat stress,,
SRP045409,SRR1542410,TAM107,SRR1542410,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,1 hour of heat stress,,
SRP062745,SRR2306557,QM-6,SRR2306557,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,12 hour of salt stress,PECO:0007185,salt exposure
SRP062745,SRR2306549,Chinese Spring,SRR2306549,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,12 hour of salt stress,PECO:0007185,salt exposure
SRP062745,SRR2306558,QM-6,SRR2306558,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,24 hour of salt stress,PECO:0007185,salt exposure
SRP062745,SRR2306550,Chinese Spring,SRR2306550,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,24 hour of salt stress,PECO:0007185,salt exposure
SRP062745,SRR2306560,QM-6,SRR2306560,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,48 hour of salt stress,PECO:0007185,salt exposure
